2026/09/07 23:40:40.753, 0, 0, 24.98
2026/09/07 23:40:40.957, 0, 0, 24.78
2026/09/07 23:40:41.165, 0, 0, 24.98
2026/09/07 23:40:41.368, 0, 0, 24.88
2026/09/07 23:40:41.572, 0, 0, 24.88
2026/09/07 23:40:41.775, 0, 0, 24.98
2026/09/07 23:40:41.978, 0, 0, 24.97
2026/09/07 23:40:42.188, 0, 0, 24.98
2026/09/07 23:40:42.391, 0, 0, 24.98
2026/09/07 23:40:42.595, 0, 0, 24.98
2026/09/07 23:40:42.798, 0, 0, 24.88
2026/09/07 23:40:43.001, 0, 0, 24.88
2026/09/07 23:40:43.210, 0, 0, 24.88
2026/09/07 23:40:43.414, 0, 0, 24.88
2026/09/07 23:40:43.617, 0, 0, 24.88
2026/09/07 23:40:43.820, 0, 0, 24.98
2026/09/07 23:40:44.023, 0, 0, 24.88
2026/09/07 23:40:44.233, 0, 0, 24.88
2026/09/07 23:40:44.436, 0, 0, 24.98
2026/09/07 23:40:44.639, 0, 0, 24.78
2026/09/07 23:40:44.842, 0, 0, 24.78
2026/09/07 23:40:45.046, 0, 0, 24.88
2026/09/07 23:40:45.255, 0, 0, 24.88
2026/09/07 23:40:45.458, 0, 0, 24.88
2026/09/07 23:40:45.661, 0, 0, 24.88
2026/09/07 23:40:45.865, 0, 0, 24.88
2026/09/07 23:40:46.068, 0, 0, 24.97
2026/09/07 23:40:46.278, 0, 0, 24.98
2026/09/07 23:40:46.481, 0, 0, 24.98
2026/09/07 23:40:46.686, 0, 0, 24.98
2026/09/07 23:40:46.889, 0, 0, 24.78
2026/09/07 23:40:47.100, 0, 0, 24.99
2026/09/07 23:40:47.303, 0, 0, 24.88
2026/09/07 23:40:47.506, 0, 0, 24.97
2026/09/07 23:40:47.710, 0, 0, 24.98
2026/09/07 23:40:47.913, 0, 0, 24.98
2026/09/07 23:40:48.122, 1, 0, 24.98
2026/09/07 23:40:48.331, 62, 0, 35.59
2026/09/07 23:40:48.534, 314, 2, 36.76
2026/09/07 23:40:48.738, 314, 0, 36.76
2026/09/07 23:40:48.941, 314, 0, 36.76
2026/09/07 23:40:49.144, 314, 0, 36.76
2026/09/07 23:40:49.347, 314, 0, 36.76
2026/09/07 23:40:49.550, 314, 0, 36.76
2026/09/07 23:40:49.753, 314, 0, 36.76
2026/09/07 23:40:49.956, 314, 0, 36.76
2026/09/07 23:40:50.162, 314, 0, 36.66
2026/09/07 23:40:50.365, 314, 0, 36.76
2026/09/07 23:40:50.568, 314, 0, 36.86
2026/09/07 23:40:50.771, 314, 0, 36.76
2026/09/07 23:40:50.974, 314, 0, 36.86
2026/09/07 23:40:51.178, 314, 0, 36.76
2026/09/07 23:40:51.381, 314, 0, 36.85
2026/09/07 23:40:51.586, 314, 0, 36.86
2026/09/07 23:40:51.789, 314, 0, 36.86
2026/09/07 23:40:51.992, 314, 0, 36.85
2026/09/07 23:40:52.196, 314, 0, 36.85
2026/09/07 23:40:52.399, 314, 0, 36.86
2026/09/07 23:40:52.602, 314, 0, 36.66
2026/09/07 23:40:52.805, 314, 0, 36.85
2026/09/07 23:40:53.010, 314, 0, 36.76
2026/09/07 23:40:53.213, 314, 0, 36.76
2026/09/07 23:40:53.416, 314, 0, 36.85
2026/09/07 23:40:53.619, 314, 0, 36.77
2026/09/07 23:40:53.821, 314, 0, 36.86
2026/09/07 23:40:54.024, 314, 0, 36.85
2026/09/07 23:40:54.227, 314, 0, 36.79
2026/09/07 23:40:54.430, 314, 0, 36.76
2026/09/07 23:40:54.634, 314, 0, 36.76
2026/09/07 23:40:54.837, 314, 0, 36.78
2026/09/07 23:40:55.040, 314, 0, 36.86
2026/09/07 23:40:55.243, 314, 0, 36.76
2026/09/07 23:40:55.445, 314, 0, 36.77
2026/09/07 23:40:55.649, 314, 0, 36.76
2026/09/07 23:40:55.852, 314, 0, 36.86
2026/09/07 23:40:56.055, 314, 0, 36.86
2026/09/07 23:40:56.258, 314, 0, 36.76
2026/09/07 23:40:56.461, 314, 0, 36.85
2026/09/07 23:40:56.664, 314, 0, 36.76
2026/09/07 23:40:56.867, 314, 0, 36.86
2026/09/07 23:40:57.070, 314, 0, 36.86
2026/09/07 23:40:57.273, 314, 0, 36.76
2026/09/07 23:40:57.476, 314, 0, 36.76
2026/09/07 23:40:57.678, 314, 0, 36.85
2026/09/07 23:40:57.882, 314, 0, 36.86
2026/09/07 23:40:58.085, 314, 0, 36.76
2026/09/07 23:40:58.288, 314, 0, 36.85
2026/09/07 23:40:58.491, 314, 0, 36.86
2026/09/07 23:40:58.695, 314, 0, 36.86
2026/09/07 23:40:58.898, 314, 0, 36.85
2026/09/07 23:40:59.101, 314, 0, 36.95
2026/09/07 23:40:59.306, 314, 0, 36.86
2026/09/07 23:40:59.509, 314, 0, 36.85
2026/09/07 23:40:59.714, 314, 0, 36.85
2026/09/07 23:40:59.916, 314, 0, 36.86
2026/09/07 23:41:00.119, 314, 0, 36.86
2026/09/07 23:41:00.322, 314, 0, 36.85
2026/09/07 23:41:00.525, 314, 0, 36.86
2026/09/07 23:41:00.730, 314, 0, 36.86
2026/09/07 23:41:00.933, 314, 0, 36.85
2026/09/07 23:41:01.136, 314, 0, 36.86
2026/09/07 23:41:01.339, 314, 0, 36.86
2026/09/07 23:41:01.542, 314, 0, 36.85
2026/09/07 23:41:01.745, 314, 0, 36.86
2026/09/07 23:41:01.948, 314, 0, 36.86
2026/09/07 23:41:02.150, 314, 0, 36.76
2026/09/07 23:41:02.354, 314, 0, 36.86
2026/09/07 23:41:02.557, 314, 0, 36.86
2026/09/07 23:41:02.760, 314, 0, 36.76
2026/09/07 23:41:02.963, 314, 0, 36.85
